PAM,VFSC
104.87,62.71
104.09,61.90
103.67,61.56
103.55,61.60
103.70,61.95
104.08,62.56
104.63,63.35
105.32,64.24
106.11,65.18
106.91,66.02
107.69,66.71
108.48,67.33
109.26,67.86
110.10,68.37
110.91,68.78
111.60,69.01
112.09,69.00
112.12,68.44
111.82,67.51
111.30,66.37
110.62,65.11
109.80,63.82
108.89,62.56
107.95,61.36
107.03,60.26
106.18,59.33
105.73,58.96
105.40,58.78
105.15,58.77
104.98,58.87
104.87,59.07
104.58,59.12
104.32,59.19
104.15,59.36
104.13,59.65
104.29,60.08
104.98,61.00
105.86,62.05
106.84,63.11
107.86,64.10
108.80,64.85
109.53,65.17
110.25,65.38
110.96,65.52
111.71,65.67
112.57,65.98
113.44,66.26
114.30,66.48
115.13,66.57
115.91,66.46
116.62,66.28
117.24,66.04
117.79,65.87
118.23,65.76
118.49,65.56
118.54,65.21
118.16,64.40
117.38,63.18
116.41,61.86
115.30,60.52
114.12,59.27
113.14,58.72
112.19,58.38
111.29,58.23
110.45,58.24
109.70,58.39
109.10,58.65
108.72,59.02
108.42,59.46
108.18,59.96
107.99,60.49
107.83,61.04
107.56,61.53
107.28,62.00
107.03,62.46
106.84,62.90
106.72,63.32
106.79,63.72
106.95,64.09
107.16,64.44
107.40,64.77
107.61,65.07
107.68,65.31
107.78,65.55
107.95,65.82
108.21,66.14
108.74,66.76
109.38,67.38
110.11,67.90
110.91,68.24
111.74,67.82
112.60,67.36
113.45,67.01
114.32,67.28
115.20,68.53
115.93,69.81
116.42,70.87
116.33,70.72
115.73,69.56
114.92,68.05
113.99,66.37
113.26,65.19
112.83,64.66
112.45,64.32
112.13,64.14
111.83,64.09
111.55,64.11
111.21,64.20
110.87,64.30
110.51,64.36
110.14,64.36
109.74,64.25
109.27,63.63
108.76,62.78
108.24,61.91
107.72,61.11
107.20,60.45
106.71,60.49
106.24,60.84
105.79,61.31
105.34,61.81
104.91,62.27
104.44,62.27
103.98,62.12
103.56,61.91
103.18,61.66
102.85,61.40
102.71,61.28
102.61,61.19
102.54,61.10
102.48,61.03
102.39,60.97
102.06,60.79
101.74,60.65
101.49,60.59
101.33,60.63
101.46,60.93
101.89,61.52
102.42,62.16
102.99,62.80
103.55,63.36
103.92,63.64
104.26,63.81
104.55,63.88
104.81,63.86
105.07,63.68
105.29,63.42
105.48,63.14
105.62,62.85
105.70,62.66
105.69,62.62
105.65,62.62
105.59,62.66
105.52,62.70
105.52,62.81
105.53,62.90
105.52,62.92
105.48,62.84
105.37,62.42
105.18,61.61
104.95,60.80
104.69,60.11
104.40,59.64
104.07,60.20
103.73,61.00
103.41,61.94
103.12,62.92
102.89,63.56
102.72,63.91
102.65,64.23
102.70,64.59
102.90,65.09
103.28,65.81
103.82,66.62
104.52,67.51
105.44,68.43
106.56,69.39
107.81,70.40
109.18,71.46
110.76,72.80
112.38,74.17
113.92,75.32
115.26,76.07
116.08,75.80
116.69,75.21
117.12,74.43
